Order ID,Order Date,Customer ID,Customer Name,Address,City,State,ZIP,Countr_Region,Salesperson,Region,Shipped Date,Shipper Name,Ship Name,Ship Address,Ship City,Ship State,Ship ZIP,Ship Country,Payment Type,Product Name,Category,Unit Price,Quantity,Revenue,Shipping Fee
16060,1/20/14,27,Company AA,789 27th Street,Las Vegas,NV,99999,USA,Mariya Sergienko,West,1/29/14,Shipping Company B,Karen Toh,789 27th Street,Las Vegas,NV,99999,USA,Check,Beer,Beverages,14,49,686,80.93691209
16121,1/30/14,27,Company AA,789 27th Street,Las Vegas,NV,99999,USA,Mariya Sergienko,West,1/29/14,Shipping Company B,Karen Toh,789 27th Street,Las Vegas,NV,99999,USA,Check,Dried Plums,Dried Fruit & Nuts,3.5,10,35,5.715307091
12213,1/9/14,4,Company D,123 4th Street,New York,NY,99999,USA,Andrew Cencini,East,1/6/14,Shipping Company A,Christina Lee,123 4th Street,New York,NY,99999,USA,Credit Card,Dried Pears,Dried Fruit & Nuts,30,165,4950,76.39023066
12649,12/28/13,4,Company D,123 4th Street,New York,NY,99999,USA,Andrew Cencini,East,1/6/14,Shipping Company A,Christina Lee,123 4th Street,New York,NY,99999,USA,Credit Card,Dried Apples,Dried Fruit & Nuts,53,142,7526,93.12225011
5263,12/31/13,4,Company D,123 4th Street,New York,NY,99999,USA,Andrew Cencini,East,1/6/14,Shipping Company A,Christina Lee,123 4th Street,New York,NY,99999,USA,Credit Card,Dried Plums,Dried Fruit & Nuts,3.5,18,63,95.46285792
14746,12/25/13,12,Company L,123 12th Street,Las Vegas,NV,99999,USA,Mariya Sergienko,West,1/14/14,Shipping Company B,John Edwards,123 12th Street,Las Vegas,NV,99999,USA,Credit Card,Chai,Beverages,18,170,3060,17.34298306
4974,1/11/14,12,Company L,123 12th Street,Las Vegas,NV,99999,USA,Mariya Sergienko,West,1/14/14,Shipping Company B,John Edwards,123 12th Street,Las Vegas,NV,99999,USA,Credit Card,Coffee,Beverages,46,167,7682,58.09812801
11900,12/22/13,8,Company H,123 8th Street,Portland,OR,99999,USA,Nancy Freehafer,North,1/10/14,Shipping Company C,Elizabeth Andersen,123 8th Street,Portland,OR,99999,USA,Credit Card,Chocolate Biscuits Mix,Baked Goods & Mixes,9.2,197,1812.4,70.27488976
6790,1/8/14,4,Company D,123 4th Street,New York,NY,99999,USA,Andrew Cencini,East,1/6/14,Shipping Company C,Christina Lee,123 4th Street,New York,NY,99999,USA,Check,Chocolate Biscuits Mix,Baked Goods & Mixes,9.2,93,855.6,37.18091377
17837,1/15/14,29,Company CC,789 29th Street,Denver,CO,99999,USA,Jan Kotas,West,1/31/14,Shipping Company B,Soo Jung Lee,789 29th Street,Denver,CO,99999,USA,Check,Chocolate,Candy,12.75,95,1211.25,47.10630706
14888,1/13/14,3,Company C,123 3rd Street,Los Angelas,CA,99999,USA,Mariya Sergienko,West,1/5/14,Shipping Company B,Thomas Axerr,123 3rd Street,Los Angelas,CA,99999,USA,Cash,Clam Chowder,Soups,9.65,153,1476.45,9.847598263
18273,1/7/14,6,Company F,123 6th Street,Milwaukee,WI,99999,USA,Michael Neipper,North,1/8/14,Shipping Company B,Francisco PŽrez-Olaeta,123 6th Street,Milwaukee,WI,99999,USA,Credit Card,Curry Sauce,Sauces,40,30,1200,1.079321042
10795,2/3/14,28,Company BB,789 28th Street,Memphis,TN,99999,USA,Anne Larsen,South,1/30/14,Shipping Company C,Amritansh Raghav,789 28th Street,Memphis,TN,99999,USA,Check,Coffee,Beverages,46,58,2668,66.32044908
9992,1/3/14,8,Company H,123 8th Street,Portland,OR,99999,USA,Nancy Freehafer,North,1/10/14,Shipping Company C,Elizabeth Andersen,123 8th Street,Portland,OR,99999,USA,Check,Chocolate,Candy,12.75,8,102,73.19492076
19716,1/3/14,10,Company J,123 10th Street,Chicago,IL,99999,USA,Laura Giussani,East,1/12/14,Shipping Company B,Roland Wacker,123 10th Street,Chicago,IL,99999,USA,Credit Card,Green Tea,Beverages,2.99,26,77.74,41.29524336
9571,12/28/13,7,Company G,123 7th Street,Boise,ID,99999,USA,Nancy Freehafer,North,NULL,NULL,Ming-Yang Xie,123 7th Street,Boise,ID,99999,USA,NULL,Coffee,Beverages,46,91,4186,81.41115015
18257,1/11/14,10,Company J,123 10th Street,Chicago,IL,99999,USA,Laura Giussani,East,1/12/14,Shipping Company A,Roland Wacker,123 10th Street,Chicago,IL,99999,USA,NULL,Boysenberry Spread,"Jams, Preserves",25,65,1625,67.55893113
3206,12/29/13,10,Company J,123 10th Street,Chicago,IL,99999,USA,Laura Giussani,East,1/12/14,Shipping Company A,Roland Wacker,123 10th Street,Chicago,IL,99999,USA,NULL,Cajun Seasoning,Condiments,22,151,3322,49.34794257
3448,1/4/14,10,Company J,123 10th Street,Chicago,IL,99999,USA,Laura Giussani,East,1/12/14,Shipping Company A,Roland Wacker,123 10th Street,Chicago,IL,99999,USA,NULL,Chocolate Biscuits Mix,Baked Goods & Mixes,9.2,50,460,6.446937284
11474,12/31/13,11,Company K,123 11th Street,Miami,FL,99999,USA,Anne Larsen,South,NULL,Shipping Company C,Peter Krschne,123 11th Street,Miami,FL,99999,USA,NULL,Dried Plums,Dried Fruit & Nuts,3.5,127,444.5,40.04368095
8406,12/24/13,11,Company K,123 11th Street,Miami,FL,99999,USA,Anne Larsen,South,NULL,Shipping Company C,Peter Krschne,123 11th Street,Miami,FL,99999,USA,NULL,Green Tea,Beverages,2.99,17,50.83,21.77406087
16471,12/13/13,1,Company A,123 1st Street,Seattle,WA,99999,USA,Nancy Freehafer,North,NULL,NULL,Anna Bedecs,123 1st Street,Seattle,WA,99999,USA,NULL,Chai,Beverages,18,111,1998,48.01868524
2729,12/14/13,1,Company A,123 1st Street,Seattle,WA,99999,USA,Nancy Freehafer,North,NULL,NULL,Anna Bedecs,123 1st Street,Seattle,WA,99999,USA,NULL,Coffee,Beverages,46,116,5336,38.43868057
12277,1/2/14,1,Company A,123 1st Street,Seattle,WA,99999,USA,Nancy Freehafer,North,NULL,NULL,Anna Bedecs,123 1st Street,Seattle,WA,99999,USA,NULL,Green Tea,Beverages,2.99,172,514.28,83.0106655
8920,1/27/14,28,Company BB,789 28th Street,Memphis,TN,99999,USA,Anne Larsen,South,1/30/14,Shipping Company C,Amritansh Raghav,789 28th Street,Memphis,TN,99999,USA,Credit Card,Clam Chowder,Soups,9.65,138,1331.7,14.57157021
13513,1/30/14,28,Company BB,789 28th Street,Memphis,TN,99999,USA,Anne Larsen,South,1/30/14,Shipping Company C,Amritansh Raghav,789 28th Street,Memphis,TN,99999,USA,Credit Card,Crab Meat,Canned Meat,18.4,181,3330.4,71.35805651
3611,12/27/13,9,Company I,123 9th Street,Salt Lake City,UT,99999,USA,Robert Zare,West,1/11/14,Shipping Company A,Sven Mortensen,123 9th Street,Salt Lake City,UT,99999,USA,Check,Ravioli,Pasta,19.5,147,2866.5,99.01061096
2342,12/28/13,9,Company I,123 9th Street,Salt Lake City,UT,99999,USA,Robert Zare,West,1/11/14,Shipping Company A,Sven Mortensen,123 9th Street,Salt Lake City,UT,99999,USA,Check,Mozzarella,Dairy Products,34.8,1,34.8,80.74029576
